word,title_id,create_time,review_time,due_time,review_count,prev_context,next_context,streak_count
taciturn,1,1712712072,1712712072,1712712372,0,"But it was not   her home.   It was simply a   new environment.  
Kumiko became a difficult, "," child in these new surroundings. There was no one she could trust, no one she could",0
ameliorate,19,1723319298,1713040655,1723319598,0,can only hope they are coming up with ways to deal with it. Or at least ," the damage. I mean, they wouldn’t have sent the Hail Mary out at all if",0
incontrovertible,3,1714008692,1714008692,1714008992,0,travelers have confirmed: In the vast Library there are no two identical books. From these two , premises he deduced that the Library is total and that its shelves register all the possible,0
verisimilar,3,1714009217,1714009217,1714009517,0,s basic mysteries ― the origin of the Library and of time ― might be found. It is , that these grave mysteries could be explained in words: if the language of philosophers is not,0
depredations,3,1714009515,1714009515,1714009815,0,"a comma. Counter to general opinion, I venture to suppose that the consequences of the Purifiers' ", have been exaggerated by the horror these fanatics produced. They were urged on by the delirium,0
tautology,3,1714010296,1714010296,1714010596,0,"one of these languages, the powerful name of a god. To speak is to fall into ",. This wordy and useless epistle already exists in one of the thirty volumes of the five,0
exudation,4,1714214598,1714214598,1714214898,0,"out of the rock. The walls of these hutches were running with water, with some noisome ",. Perilous steps led down to still deeper dungeons. We went through several pairs of huge doors,0
ignis fatuus,4,1714231937,1714231937,1714232237,0,"checked lining. The wearer’s head was uncovered: her bright hair shimmered like silver fire, an "," glimmering in the forest. She hurried on as fast as she could, anxious to get out",0
morass,4,1714343286,1714343286,1714343586,0,"to the touch. The floors were concrete, always covered in mud. Everywhere we walked became a ",". Everyone grumbled about the discomfort and the poor quality of the food.
Something had gone wrong",0
scarified,4,1714349975,1714349975,1714350275,0,"stung like acid. It was the breath of ice, of the polar regions, almost unbreathable. It "," the skin, seared the lungs; but the body quickly adjusted itself to this stringency. The density",0
stringency,4,1714349991,1714349991,1714350291,0,"unbreathable. It scarified the skin, seared the lungs; but the body quickly adjusted itself to this ",. The density of the snow created a curious fog-like gloom in the upper air,0
irrevocably,4,1714419564,1714419564,1714419864,0,"girl, the warden, the spreading ice, the fighting and killing. I was part of all that, ", involved with events and persons upon this planet. It was heartbreaking to reject what a part,0
desultory,4,1714420729,1714420729,1714421029,0,"steel helmet, overcoat and high boots, the driver got out and went into a house. The "," bombardment was still going on. There was no need for silence. In desperation, I prized up",0
solipsism,4,1714425308,1714425308,1714425608,0,"a researcher in a psychiatric military unit, and in I Am Lazarus she escapes a crushing "," at times to tell the stories of some of its patients.
This is Anna Kavan at",0
verboten,5,1714765884,1714765884,1714766184,0,"and his eyes shone with camaraderie. He filled my glass. I spoke again.
“Savoyard was always ",. Forbidden fruit. My daddy’s family was Illinois Yankee through and through. His father fought with,0
fulminating,6,1714873581,1714873581,1714873881,0,"himself? Until he does, I’ll go on theorizing and the Freedom League will go on ",".”
He cocked a rebellious eye at the ceiling.
“One dark night, Mr. Supervisor, I hope some",0
idiomatically,6,1714873588,1714873588,1714873888,0,"centuries. Look at his command of English, for example. He taught me how to speak it ","!”
“Have you ever discovered anything he doesn’t know?”
“Oh yes, quite often-but only",0
acrimonious,6,1715012244,1715012244,1715012544,0,"don’t see why not. It is about time someone did.”
Before the discussion could get ",", they were accosted by the Shoenbergers and fission rapidly occurred. The girls went off in one",0
sinecure,23,1726575309,1715038827,1726575609,0,the rest of the academic year he was given what was understood to be a temporary , as administrative assistant to the dean of Arts and Sciences. He was sensitive enough to be,0
quiescence,6,1715093498,1715093498,1715093798,0,"go and find what was wrong with her.”
“Oh,” said George, relapsing into a gently simmering ",". Jean knew that another eruption could be expected at any moment. When it came, however, it",0
